gene	value
A1BG	6.33646974924991
A1BG-AS1	6.01865510484342
A1CF	7.04048795531811
A2M	15.3203931817004
A2M-AS1	7.49527645311003
A2ML1	3.48694031565687
A2MP1	2.73059454767274
A3GALT2	0.972657402959008
A4GALT	9.23563050111705
A4GNT	3.36484177389803
AA06	0.0
AAAS	10.1008367926567
AACS	9.71970544998455
AACSP1	4.13177814318415
AADAC	4.45959771861588
AADACL2	0.0
AADACL2-AS1	6.14626085619962
AADACL3	0.0
AADACL4	0.972657402959008
AADACP1	2.51428291269786
AADAT	6.68251110553119
AAED1	8.31320016871904
AAGAB	10.8532894580271
AAK1	11.4637322195946
AAMDC	8.27516943964423
AAMP	11.6202468303074
AANAT	3.23109795358971
AAR2	10.2127528320002
AARD	3.08325101947771
AARS	11.9430071913016
AARS2	9.9514963710881
AARSD1	9.26436367510439
AASDH	9.70308237687538
AASDHPPT	10.2659989817729
AASS	10.7131399418265
AATBC	7.263421820666
AATF	10.3440276970198
AATK	8.45916984768587
ABALON	8.29134428374876
ABAT	9.3482344191236
ABCA1	13.400849182067
ABCA10	8.94095165616189
ABCA11P	8.27150232907461
ABCA12	7.44185206784722
ABCA13	6.83971772298219
ABCA17P	4.27222005741159
ABCA2	10.4968961474091
ABCA3	8.11614118731488
ABCA4	6.40491252453389
ABCA5	10.3342592939909
ABCA6	11.3411813232436
ABCA7	10.4881630340002
ABCA8	9.83515300778228
ABCA9	10.6004068385086
ABCA9-AS1	0.0
ABCB1	9.26697104146637
ABCB10	9.43351689324725
ABCB11	9.96247365599117
ABCB4	6.80860182071306
ABCB5	6.68849511464952
ABCB6	8.86201355901767
ABCB7	10.3699022075403
ABCB8	9.20476703974522
ABCB9	7.39932614642303
ABCC1	10.9717610808398
ABCC10	9.64184519759748
ABCC11	3.89062961183603
ABCC12	0.0
ABCC13	0.0
ABCC2	6.59593972748774
ABCC3	12.0654351616217
ABCC4	9.61391162752
ABCC5	10.8814608135073
ABCC5-AS1	1.54162550973885
ABCC6	7.85883004352328
ABCC6P1	3.14427141634713
ABCC6P2	3.70825462263877
ABCC8	9.60944978588569
ABCC9	13.6011890283621
ABCD1	9.08879859027388
ABCD2	6.94433747671668
ABCD3	11.2649983855593
ABCD4	9.79347173083536
ABCE1	11.4580302823452
ABCF1	11.1330846900774
ABCF2	10.7480876135374
ABCF3	10.7739466916833
ABCG1	11.9492062889853
ABCG2	7.47626352012413
ABCG4	3.08325101947771
ABCG5	2.51428291269786
ABCG8	0.0
ABHD1	4.33749917685704
ABHD10	9.65776669705373
ABHD11	9.42389256950416
ABHD11-AS1	4.33749917685704
ABHD12	10.125802575185
ABHD12B	3.36484177389803
ABHD13	9.5655710709532
ABHD14A	7.85488264302661
ABHD14A-ACY1	5.76696436714108
ABHD14B	10.5343807939261
ABHD15	9.91479592076014
ABHD16A	10.2854566776473
ABHD16B	7.88172287515943
ABHD17A	10.1370984489362
ABHD17B	9.28012407438747
ABHD17C	10.6617351924192
ABHD18	9.65673006956625
ABHD2	13.6534635847554
ABHD3	8.99275528418728
ABHD4	9.90880341054826
ABHD5	11.2809316241894
ABHD6	8.84926825785012
ABHD8	7.89694813857247
ABI1	11.0581448508541
ABI2	11.1690931004179
ABI3	8.6975750499411
ABI3BP	11.2203437030673
ABL1	11.4643996459581
ABL2	12.0661285912699
ABLIM1	12.8956127740027
ABLIM2	8.20400358681788
ABLIM3	9.47018341668112
ABO	6.18372002198866
ABR	11.2122858473844
ABRA	1.94531480591802
ABRACL	9.06704237134375
ABRAXAS1	8.78958218981924
ABRAXAS2	9.79608242556372
ABT1	9.74427656824794
ABTB1	8.98812409842676
ABTB2	8.09876328086568
ACAA1	10.5032135379856
ACAA2	10.5557931681531
ACACA	11.7534089130222
ACACB	10.295907517966
ACAD10	10.0462621308226
ACAD11	10.3654417179648
ACAD8	9.50591619956483
ACAD9	10.365085308815
ACADL	5.67340365292301
ACADM	10.2697260703165
ACADS	9.24009542904116
ACADSB	10.1571845046895
ACADVL	12.2126753224897
ACAN	8.05885780466936
ACAP1	8.64273835797457
ACAP2	11.6981713172131
ACAP3	9.83847208758329
ACAT1	9.74292273503947
ACAT2	9.1083291045139
ACBD3	11.4599999102483
ACBD3-AS1	4.57515202293421
ACBD4	8.72285183997725
ACBD5	10.5663705310423
ACBD6	10.035307758161
ACBD7	8.87911332582013
